line_id,title,pony,prev_pony,prev_dialog,dialog,next_pony,next_dialog
20,A Canterlot Wedding - Part 1,Princess Celestia,Princess Celestia,"Perfect, girls. No need to rush. Then of course, Cadance will enter.","I'll say a few words, and then we'll begin with the vows. Shining Armor, you'll get the ring from your best mare.",Princess Celestia,You have a lot to think about.
21,A Canterlot Wedding - Part 1,Princess Celestia,Princess Celestia,"I'll say a few words, and then we'll begin with the vows. Shining Armor, you'll get the ring from your best mare.",You have a lot to think about.,,
22,A Canterlot Wedding - Part 2,Princess Celestia,,,"Princess Cadance and Shining Armor, it is my great pleasure to pronounce you<U+0096>",Princess Celestia,"No. You won't. You may have made it impossible for Shining Armor to perform his spell, but now that you have so foolishly revealed your true self, I can protect my subjects from you!"
23,A Canterlot Wedding - Part 2,Princess Celestia,Princess Celestia,"Princess Cadance and Shining Armor, it is my great pleasure to pronounce you<U+0096>","No. You won't. You may have made it impossible for Shining Armor to perform his spell, but now that you have so foolishly revealed your true self, I can protect my subjects from you!",Princess Celestia,"Rainbow Dash, that's your cue."
24,A Canterlot Wedding - Part 2,Princess Celestia,Princess Celestia,"No. You won't. You may have made it impossible for Shining Armor to perform his spell, but now that you have so foolishly revealed your true self, I can protect my subjects from you!","Rainbow Dash, that's your cue.",Princess Celestia,"Mares and gentlecolts, we are gathered here today to witness the union of [muffled] Princess Mi Amore Cadenza and Shining Armor."
25,A Canterlot Wedding - Part 2,Princess Celestia,Princess Celestia,"Rainbow Dash, that's your cue.","Mares and gentlecolts, we are gathered here today to witness the union of [muffled] Princess Mi Amore Cadenza and Shining Armor.",Princess Celestia,The Elements of Harmony. You must get to them and use their power to defeat the queen.
26,A Canterlot Wedding - Part 2,Princess Celestia,Princess Celestia,"Mares and gentlecolts, we are gathered here today to witness the union of [muffled] Princess Mi Amore Cadenza and Shining Armor.",The Elements of Harmony. You must get to them and use their power to defeat the queen.,Princess Celestia,Don't worry about me. I'm fine. You have a real wedding to put together.
27,A Canterlot Wedding - Part 2,Princess Celestia,Princess Celestia,The Elements of Harmony. You must get to them and use their power to defeat the queen.,Don't worry about me. I'm fine. You have a real wedding to put together.,Princess Celestia,"Mares and gentlecolts, we are gathered here today to celebrate the union of the real Princess Mi Amore Cadenza<U+0096>"
28,A Canterlot Wedding - Part 2,Princess Celestia,Princess Celestia,Don't worry about me. I'm fine. You have a real wedding to put together.,"Mares and gentlecolts, we are gathered here today to celebrate the union of the real Princess Mi Amore Cadenza<U+0096>",Princess Celestia,"Hm. The union of Princess Cadance and Shining Armor. The strength of their commitment is clear. The power of their love, undeniable. May we have the rings please? I now pronounce you mare and colt!"
29,A Canterlot Wedding - Part 2,Princess Celestia,Princess Celestia,"Mares and gentlecolts, we are gathered here today to celebrate the union of the real Princess Mi Amore Cadenza<U+0096>","Hm. The union of Princess Cadance and Shining Armor. The strength of their commitment is clear. The power of their love, undeniable. May we have the rings please? I now pronounce you mare and colt!",Princess Celestia,"This is your victory as much as theirs. You persisted in the face of doubt, and your actions led to your being able to bring the real Princess Cadance back to us. Learning to trust your instincts is a valuable lesson to learn."
30,A Canterlot Wedding - Part 2,Princess Celestia,Princess Celestia,"Hm. The union of Princess Cadance and Shining Armor. The strength of their commitment is clear. The power of their love, undeniable. May we have the rings please? I now pronounce you mare and colt!","This is your victory as much as theirs. You persisted in the face of doubt, and your actions led to your being able to bring the real Princess Cadance back to us. Learning to trust your instincts is a valuable lesson to learn.",,
31,A Royal Problem,Princess Celestia,,,"You can try. I haven't had an easy day in, well, ever! But now, I get to sleep, and tonight will be a breeze. All right, Starlight Glimmer. We will do this.",Princess Celestia,"Oh, hello, Starlight. I don't know about you, but I feel very well-rested. Where's Luna?"
32,A Royal Problem,Princess Celestia,Princess Celestia,"You can try. I haven't had an easy day in, well, ever! But now, I get to sleep, and tonight will be a breeze. All right, Starlight Glimmer. We will do this.","Oh, hello, Starlight. I don't know about you, but I feel very well-rested. Where's Luna?",Princess Celestia,Did she now? It seems my duties were harder than my sister expected.
33,A Royal Problem,Princess Celestia,Princess Celestia,"Oh, hello, Starlight. I don't know about you, but I feel very well-rested. Where's Luna?",Did she now? It seems my duties were harder than my sister expected.,Princess Celestia,Moon raised! It's even easier than raising the sun. [chuckles] What's next?
34,A Royal Problem,Princess Celestia,Princess Celestia,Did she now? It seems my duties were harder than my sister expected.,Moon raised! It's even easier than raising the sun. [chuckles] What's next?,Princess Celestia,"All right. Everypony's asleep. You're talking to yourself, Celestia. Heh. But there's nopony else to talk to! [chuckles] Yet. I can talk to ponies in their dreams!"
35,A Royal Problem,Princess Celestia,Princess Celestia,Moon raised! It's even easier than raising the sun. [chuckles] What's next?,"All right. Everypony's asleep. You're talking to yourself, Celestia. Heh. But there's nopony else to talk to! [chuckles] Yet. I can talk to ponies in their dreams!",Princess Celestia,"Now, to save some ponies from their nightmares. Which aren't real, so it shouldn't be too hard, right? Right. Good call, Celestia! And I'm talking to myself again."
36,A Royal Problem,Princess Celestia,Princess Celestia,"All right. Everypony's asleep. You're talking to yourself, Celestia. Heh. But there's nopony else to talk to! [chuckles] Yet. I can talk to ponies in their dreams!","Now, to save some ponies from their nightmares. Which aren't real, so it shouldn't be too hard, right? Right. Good call, Celestia! And I'm talking to myself again.",Princess Celestia,Starlight! I'm here now. Tell me what's wrong.
37,A Royal Problem,Princess Celestia,Princess Celestia,"Now, to save some ponies from their nightmares. Which aren't real, so it shouldn't be too hard, right? Right. Good call, Celestia! And I'm talking to myself again.",Starlight! I'm here now. Tell me what's wrong.,Princess Celestia,"Don't worry, Starlight. I know how to handle Nightmare Moon."
38,A Royal Problem,Princess Celestia,Princess Celestia,Starlight! I'm here now. Tell me what's wrong.,"Don't worry, Starlight. I know how to handle Nightmare Moon.",Princess Celestia,This can't be!
39,A Royal Problem,Princess Celestia,Princess Celestia,"Don't worry, Starlight. I know how to handle Nightmare Moon.",This can't be!,Princess Celestia,It's Starlight Glimmer's. She's afraid this is what will happen if we continue to fight!
40,A Royal Problem,Princess Celestia,Princess Celestia,This can't be!,It's Starlight Glimmer's. She's afraid this is what will happen if we continue to fight!,Princess Celestia,W-What?
41,A Royal Problem,Princess Celestia,Princess Celestia,It's Starlight Glimmer's. She's afraid this is what will happen if we continue to fight!,W-What?,Princess Celestia,Enough!
42,A Royal Problem,Princess Celestia,Princess Celestia,W-What?,Enough!,Princess Celestia,"That's not true! Even when we were apart, I knew I needed her!"
43,A Royal Problem,Princess Celestia,Princess Celestia,Enough!,"That's not true! Even when we were apart, I knew I needed her!",Princess Celestia,No! I'll never turn into you!
44,A Royal Problem,Princess Celestia,Princess Celestia,"That's not true! Even when we were apart, I knew I needed her!",No! I'll never turn into you!,Princess Celestia,"Oh, Luna, I can't do this! I was wrong! Your job is so incredibly hard! You have to battle nightmares and work in the darkness and do it all alone! It takes such a brave, strong pony to do what you do!"
