line_id,character,dialog,title
62,Princess Celestia,"[voice over] As you know, the ancient castle that I once shared with Princess Luna lies mostly in ruins, deep in the Everfree Forest. But if you look carefully, you may find a book that could prove helpful to your research, hidden somewhere in what's left of the castle library.",Castle Mane-ia
67,Princess Celestia,"[voiceover] Yes, Spike. I was constantly surprised and impressed with her discoveries. But I noticed that her pursuit of academia was preventing her from reaching her full potential.",Celestial Advice
69,Princess Celestia,"Uh, this is Twilight's fantasy, Spike. There is no wrong way to fantasize.",Celestial Advice
75,Princess Celestia,"This seems like a lovely path for Starlight. The changelings have so much to learn about how to enjoy love through friendships. Starlight would be busy for a very long time, but her work there would be very rewarding.",Celestial Advice
78,Princess Celestia,"Let me tell you a story. Once upon a time, there was a very bright young filly.",Celestial Advice
88,Princess Celestia,"That's all right, Applejack. Anypony can get swept up in the excitement of competition.",Fall Weather Friends
95,Princess Celestia,Be very careful. The Dragon Lands are particularly dangerous for ponies. It would be wise to be discreet.,Gauntlet of Fire
96,Princess Celestia,Dragons glow whenever the Dragon Lord has need of them in the Dragon Lands.,Gauntlet of Fire
99,Princess Celestia,[flat and stilted] It is time for a new day in Equestria-aaa.,Horse Play
109,Princess Celestia,[giggling happily] Mind? Oh! Of course not! Oh! I think a play is a fantastic idea!,Horse Play
112,Princess Celestia,"Oh, uh, I said [quietly] it is time for a new day in Equestria.",Horse Play
119,Princess Celestia,"Oh! Uh, right! Of course! Heh. [clears throat] [quietly] It is time for a new day in Equestria.",Horse Play
136,Princess Celestia,"[rushed and hyperactive] It's time for a new day in Equestria! [normal] Uh, how was that?",Horse Play
140,Princess Celestia,"No need, Spike. I have them right here, and I've cast a spell so Discord can't take them and hide them again. Now where is Fluttershy? I believe she may know best how to begin reforming Discord.",Keep Calm and Flutter On
141,Princess Celestia,"I realize that this is a tall order, but I wouldn't ask if I weren't confident you could get him to use magic obediently of his own free will.",Keep Calm and Flutter On
143,Princess Celestia,"Yes, I understand. But I have use for Discord's magic if it can be reformed to serve good instead of evil. This is why I've brought Discord here, because I believe that you are the ponies who can help him do just that.",Keep Calm and Flutter On
144,Princess Celestia,"I'm fully aware that the last time Discord was here, he created serious havoc.",Keep Calm and Flutter On
145,Princess Celestia,"Congratulations on your success, ponies. I definitely sense a big change in Discord. [to Twilight] I'll leave the Elements of Harmony with you, Twilight. Just in case.",Keep Calm and Flutter On
151,Princess Celestia,"You did something today that's never been done before. Something even a great unicorn like Star Swirl the Bearded was not able to do, because he did not understand friendship like you do. The lessons you've learned here in Ponyville have taught you well. You have proven that you're ready, Twilight.",Magical Mystery Cure
155,Princess Celestia,"We are gathered here today in celebration of a momentous occasion. My most faithful student, Twilight Sparkle, has done many extraordinary things since she's lived in Ponyville. She even helped reunite me with my sister, Princess Luna. But today, Twilight Sparkle did something extraordinary. She created new magic, proving without a doubt that she is ready to be crowned Equestria's newest princess. Fillies and gentlecolts, may I present for the very first time, Princess Twilight Sparkle!",Magical Mystery Cure
166,Princess Celestia,"You delegates have traveled far and wide to represent your cities as we seek to celebrate and learn from all the unique places that make up our wonderful land of Equestria. At tonight's welcome reception, Princess Cadance will dedicate this beautiful friendship statue made up of gemstones from each of your home cities.",Princess Spike
170,Princess Celestia,I must admit that it is wonderful to actually be looking forward to the Summer Sun Celebration.,Princess Twilight Sparkle - Part 1
171,Princess Celestia,"But now it has become a wonderful reminder of her transformation back into Princess Luna, and our happy reunion. I am so pleased that you will be playing a role in the festivities. I know it must have been difficult to see your friends return to Ponyville without you.",Princess Twilight Sparkle - Part 1
172,Princess Celestia,"For my subjects, it has always been a celebration of my defeat of Nightmare Moon. But for me... [sighs] It was just a terrible reminder that I'd had to banish my own sister.",Princess Twilight Sparkle - Part 1
180,Princess Celestia,"[voice over] Even without these elements, the Tree of Harmony will possess a powerful magic. As long as that magic remains, it will continue to control and contain all that grows here.",Princess Twilight Sparkle - Part 2
182,Princess Celestia,"We have managed to discover the only means by which we can defeat Discord and free the citizens of Equestria. Even without these elements, the Tree of Harmony will possess a powerful magic. As long as that magic remains, it will continue to control and contain all that grows here.",Princess Twilight Sparkle - Part 2
183,Princess Celestia,Of course not. You've never run a school before. The Equestria Education Association is a board of learned ponies that oversee every school in Equestria.,School Daze - Part 1
184,Princess Celestia,"Actually, there is. The EEA guidebook is very specific about how to run a school.",School Daze - Part 1
185,Princess Celestia,"Not even a princess can do whatever she likes when it comes to shaping young pony minds. The EEA ensures that whether it's unicorns studying magic, Pegasi learning weather, or Earth ponies researching agriculture, all schools are held to the same high standard. They'll need to approve your plan before you can move forward.",School Daze - Part 1
189,Princess Celestia,"I seem to recall something about Earth ponies, unicorns, and Pegasi doing something similar, don't you?",School Daze - Part 2
193,Princess Celestia,"Throughout our city, ponies have been reporting tales of their magic failing. Spells going wrong. Potions not working.",School Raze - Part 1
194,Princess Celestia,"If he has found some way to escape his prison or work from within it, he could be responsible for this.",School Raze - Part 1
195,Princess Celestia,"Star Swirl believes the power will drain from our land in three days. First, unicorn magic and spells will fail.",School Raze - Part 1
196,Princess Celestia,"And finally, magical artifacts will stop working. When the sun sets on the third day, the magic in our world will be gone forever!",School Raze - Part 1
197,Princess Celestia,"On the second day, creatures will lose their magic abilities.",School Raze - Part 1
199,Princess Celestia,Ah! It is even more terrible than we feared! Magic is disappearing all across Equestria!,School Raze - Part 1
200,Princess Celestia,Magic is disappearing all across Equestria!,School Raze - Part 2
202,Princess Celestia,"I've always wondered what happened to Star Swirl. This is quite a discovery, Sunburst.",Shadow Play - Part 1
204,Princess Celestia,"My Olde Ponish is a bit rusty, but I wonder if the answers can be found somewhere within the pages of this book.",Shadow Play - Part 1
206,Princess Celestia,"Well, it has been over a thousand years. Will you stay here and teach magic once again? My sister and I have such fond memories of your lessons.",Shadow Play - Part 2
215,Princess Celestia,"Unfortunately, that visit is going to have to wait for another time. I'm afraid an emergency has come up in Fillydelphia. Apparently there's been some sort of infestation.",Swarm of the Century
220,Princess Celestia,"Yes, a swarm of incredibly bothersome creatures has invaded the poor town. I'm sorry Twilight, to have to put you all through so much trouble.",Swarm of the Century
228,Princess Celestia,"Oh, Twilight. The Grand Galloping Gala is always awful.",The Best Night Ever
233,Princess Celestia,That was the best Grand Galloping Gala ever!,The Best Night Ever
237,Princess Celestia,"He was ultimately overthrown, turned to shadow, and banished to the ice of the arctic north.",The Crystal Empire - Part 1
239,Princess Celestia,"There wouldn't be. Few remember it ever existed at all. Even my knowledge of the Empire is limited. But what I do know is that it contains a powerful magic. One thousand years ago, King Sombra, a unicorn whose heart was black as night, took over the Crystal Empire.",The Crystal Empire - Part 1
240,Princess Celestia,"But not before he was able to put a curse upon the Empire. A curse that caused it to vanish into thin air. If the Empire is filled with hope and love, those things are reflected across all of Equestria. If hatred and fear take hold... Which is why I need your help finding a way to protect it.",The Crystal Empire - Part 1
242,Princess Celestia,This is a different kind of test. The Crystal Empire has returned.,The Crystal Empire - Part 1
250,Princess Celestia,The Crystal Empire has returned.,The Crystal Empire - Part 2
254,Princess Celestia,The birth of an Alicorn is something Equestria has never seen!,The Crystalling - Part 1
255,Princess Celestia,It appears her magic is more powerful than that of a newborn unicorn!,The Crystalling - Part 1
256,Princess Celestia,"In light of the little one's abilities, this Crystalling might be more important than ever. [to Cadance] Perhaps you should address your subjects and remind them of that.",The Crystalling - Part 1
258,Princess Celestia,An old student of mine believes he does.,The Crystalling - Part 2
265,Princess Celestia,"One other thing, Twilight.",The Cutie Mark Chronicles
266,Princess Celestia,You have a very special gift. I don't think I've ever come across a unicorn with your raw abilities.,The Cutie Mark Chronicles
267,Princess Celestia,"Stop stalling, Discord! What have you done with the Elements of Harmony?",The Return of Harmony Part 1
270,Princess Celestia,Enough! What have you done with the Elements of Harmony?,The Return of Harmony Part 1
271,Princess Celestia,"You six showed the full potential of the Elements by harnessing the magic of your friendship to beat a mighty foe. Although Luna and I once wielded the Elements, it is you who now control their power, and it is you who must defeat Discord!",The Return of Harmony Part 1
272,Princess Celestia,"Discord is the mischievous spirit of disharmony. Before my sister and I stood up to him, he ruled Equestria in an eternal state of unrest and unhappiness. Luna and I saw how miserable life was for Earth ponies, Pegasi, and unicorns alike, so after discovering the Elements of Harmony, we combined our powers and rose up against him, turning him to stone.",The Return of Harmony Part 1
273,Princess Celestia,That chamber is protected by a powerful spell that only I can break! This doesn't make sense!,The Return of Harmony Part 1
275,Princess Celestia,"This is Canterlot Tower, where the Elements are kept inside since all of you recovered them. I need you to wield the Elements of Harmony once again and stop Discord before he thrusts all of Equestria into eternal chaos.",The Return of Harmony Part 1
277,Princess Celestia,"I've called you here for a matter of great importance. It seems an old foe of mine, someone I thought I had defeated long ago, has returned. His name... is Discord.",The Return of Harmony Part 1
278,Princess Celestia,"I thought the spell we cast would keep him contained forever, but since Luna and I are no longer connected to the Elements, the spell has been broken.",The Return of Harmony Part 1
280,Princess Celestia,I need you to wield the Elements of Harmony once again and stop Discord.,The Return of Harmony Part 2
282,Princess Celestia,"There is no doubt that Tirek is after Alicorn magic. With Discord by his side, we will not be able to stop him from taking it.",Twilight's Kingdom - Part 1
283,Princess Celestia,"[narrating] Scorpan returned to his own land, and Tirek was sent to Tartarus for his crimes. But it appears he has found a way to escape.",Twilight's Kingdom - Part 1
284,Princess Celestia,"Tirek has stolen enough magic that he now has the strength to steal flight as well. Without Pegasi to control the weather, there will be no rain in Equestria. There is word he has gone after Earth ponies as well. Without their strength, they will not be able to tend the land.",Twilight's Kingdom - Part 1
287,Princess Celestia,His time in Tartarus left him very weak. He has just now gained enough strength to use his dark powers.,Twilight's Kingdom - Part 1
289,Princess Celestia,But there is one solution. It is only by making this sacrifice that Equestria and the lands beyond it might be saved. We must rid ourselves of our magic before Tirek has the chance to steal it from us.,Twilight's Kingdom - Part 1
290,Princess Celestia,Your destiny's uncertain And that's sometimes hard to take But it will become much clearer With every new choice you make,Twilight's Kingdom - Part 1
292,Princess Celestia,"[narrating] Tirek and his brother Scorpan came here from a distant land, intent on stealing Equestrian magic. But Scorpan soon came to appreciate the ways of Equestria, even befriending a young unicorn wizard.",Twilight's Kingdom - Part 1
297,Princess Celestia,"We do not believe that Tirek is aware that a fourth Alicorn princess exists in Equestria. If we transfer our magic to you, Tirek will not know where it has gone.",Twilight's Kingdom - Part 2
24,Sweetie Belle,We got to hear legendary stories and go on an adventure.,Campfire Tales
27,Sweetie Belle,I think she's my favorite legend too.,Campfire Tales
29,Sweetie Belle,Wait a minute. All by himself?,Campfire Tales
90,Sweetie Belle,"Besides, I know exactly what to do! When I was younger, I read all the fairy tales.",Hard to Say Anything
94,Sweetie Belle,"It doesn't really count when you trick a pony into drinking a love potion, does it?",Hard to Say Anything
98,Sweetie Belle,"It was a long ride! Anyway, as long as we do what the book says, you're pretty much guaranteed a happy ending. Uh, how about this one? ""Rescuing a damsel-pony-in-distress."" That's perfect! Of course, we'll have to improvise without a dragon.",Hard to Say Anything
101,Sweetie Belle,"We may have given you the teeny-tiniest bit of love potion... that may have turned out to actually be a love poison, and you may have gone just a teeny-tiniest bit nutty.",Hearts and Hooves Day
113,Sweetie Belle,"If we can keep Miss Cheerilee and Big Mac from looking into each other's eyes for one full hour, the love curse will be broken.",Hearts and Hooves Day
120,Sweetie Belle,"I... don't suppose we could borrow that book for a little while, do ya?",Hearts and Hooves Day
123,Sweetie Belle,"I wish I were dressed for it, but still... [squealing] THE CRYSTAL EMPIRE!",Just for Sidekicks
193,Sweetie Belle,"Rarity, you have to help me! I think something's wrong with my horn!",Princess Twilight Sparkle - Part 1
260,Sweetie Belle,Wow! Have you seen what the carts used to look like in the olden days?,The Cart Before the Ponies
265,Sweetie Belle,"Well, it doesn't have to be yellow. But I really do love the old-timey style. Like this.",The Cart Before the Ponies
282,Sweetie Belle,"Though I'm pretty sure it doesn't happen to griffons. Or if it does, we've never ever heard of it.",The Fault in Our Cutie Marks
296,Sweetie Belle,"No, no, no. You see, in the theater it's considered bad luck to say ""good luck"". So you say ""break a leg"" instead.",The Show Stoppers
311,Sweetie Belle,"Apple Bloom doesn't have her apple seed with her, so she'll just grab an apple from the kitchen. And I will begin by using my magic to lift this broom!",Twilight Time
